Division,season,n,skew_exante,p_fav_dv
POL,2018,288,0.279341331837534,0.4647894907072444
POL,2019,296,0.28706023139074716,0.46013243649027813
POL,2020,248,0.25149080136563745,0.48005089387957706
POL,2021,298,0.270827797670229,0.47327413806159063
POL,2022,288,0.26531268160947213,0.4871024608136576
POL,2023,322,0.2683512142995465,0.4856271229576264
POL,2024,235,0.21807196195501108,0.4891496135291536
ROM,2012,171,0.21304268634649676,0.517406101607643
ROM,2013,305,0.1593497424427229,0.5271184906835974
ROM,2014,290,0.162784086567294,0.5345962038511131
ROM,2015,314,0.27971905469584735,0.4806100235144683
ROM,2016,258,0.22937893777830234,0.5030610340407051
ROM,2017,277,0.2324808403622844,0.5091887916912755
ROM,2018,263,0.2540545481045166,0.5013434447198623
ROM,2019,275,0.268789208935864,0.4908079366384626
ROM,2020,229,0.24260520094509422,0.49830253256360557
ROM,2021,370,0.29949913740772444,0.4867781596137527
ROM,2022,319,0.29137032381469946,0.518242409034938
ROM,2023,321,0.26588350175127534,0.4842384667908796
ROM,2024,247,0.25960420292542297,0.4809586701206358
RUS,2012,152,0.1759044560948274,0.5305666298114842
RUS,2013,244,0.17356747735979242,0.5287177598637361
RUS,2014,227,0.18981225910028254,0.5312198750628011
RUS,2015,253,0.22740443502853427,0.5082352131572377
RUS,2016,236,0.21452260722731795,0.5163768875577013
RUS,2017,267,0.25688591810445627,0.5247619263189893
RUS,2018,219,0.25651498974028947,0.508258234005122
RUS,2019,260,0.2724472808989916,0.5062030976446105
RUS,2020,239,0.24938255290513672,0.5107265701477396
RUS,2021,232,0.2237684453100997,0.5288052028173378
RUS,2022,236,0.2061078913974652,0.5198368227635415
RUS,2023,252,0.2173042426948586,0.5008755335686546
RUS,2024,187,0.2384512247051496,0.4981834130368404
SC0,2005,180,0.15746211419037134,0.5578419599766221
SC0,2006,236,0.16631206051937575,0.5441621789567597
SC0,2007,214,0.14426008559339998,0.5347411580145335
SC0,2008,228,0.1727150284600678,0.5399334172262414
SC0,2009,212,0.2128588780969162,0.5252662319725664
SC0,2010,230,0.24197455402521192,0.520047187268301
