,ret_fav
2015-02-14,0.2974361493139151
2015-02-21,0.2538443882701582
2015-02-28,0.2536093095965527
2015-03-05,0.20274598211591482
2015-03-10,0.23247506909753038
2015-03-14,0.24583609612452736
2015-03-21,0.23000288966507118
2015-03-28,0.21135686118471803
2015-04-04,0.16523184367712232
2015-04-10,0.18693510313320902
2015-04-17,0.18613487563608838
2015-04-19,0.21629812532395096
2015-04-25,0.276677354141823
2015-05-02,0.33780881935814866
2015-05-09,0.3375764597181274
2015-05-16,0.32019006872782013
2015-05-23,0.2858922193835857
2015-05-31,0.21258130394052602
2015-06-25,0.19577483573544582
2015-07-15,0.21086067816044168
2015-07-27,0.2072897145828082
2015-08-08,0.23495142352257567
2015-08-15,0.23147958032717664
2015-08-22,0.21532538033130566
2015-08-24,0.23024763345875343
2015-08-30,0.21218651729393928
2015-09-08,0.2575503234075953
2015-09-13,0.25603021338849236
2015-09-19,0.27460545778904083
2015-09-23,0.2777531344766868
2015-09-27,0.2724449308270188
2015-10-03,0.30592876001631375
2015-10-11,0.3096850005647394
2015-10-18,0.27346119055762613
2015-10-24,0.22609607427268943
2015-10-30,0.21111606266297997
2015-11-03,0.11953638964800986
2015-11-08,0.19458803757278945
2015-11-21,0.21655286863504583
2015-11-28,0.265767212896692
2015-12-04,0.3324963361492067
2015-12-09,0.2777821031051427
2015-12-18,0.26651079020180907
2015-12-26,0.20339371255565225
2016-01-04,0.17728454019618287
2016-01-13,0.2399240543441916
2016-01-23,0.22611877739385886
2016-01-30,0.28595481240687326
2016-02-06,0.30567030058537975
2016-02-13,0.23879969301068205
2016-02-19,0.2500508771251606
2016-02-24,0.23233680727780007
2016-02-29,0.25013620937566367
2016-03-05,0.2658216822520488
2016-03-12,0.293715294363767
2016-03-19,0.27386786858716655
2016-03-24,0.2743015084976475
2016-04-02,0.2842353138344261
2016-04-09,0.23756337805904493
2016-04-16,0.23279301418805975
2016-04-20,0.23971231345885546
2016-04-24,0.22540259497773368
2016-04-30,0.18895965816329363
2016-05-08,0.16129045188285493
2016-05-15,0.08674761457059438
2016-05-22,0.05910530084182083
2016-06-08,0.11692770038132447
2016-07-05,0.12353855849425488
2016-07-24,0.19405399392373557
2016-08-06,0.24345680614601758
2016-08-13,0.2383622780065052
2016-08-20,0.2454187207411342
2016-08-27,0.21533542252115154
2016-09-01,0.2590646368555863
2016-09-10,0.25733250427725
2016-09-17,0.2868163654955024
2016-09-20,0.3315341666371098
2016-09-24,0.2859445962513422
2016-09-30,0.27601524661667803
2016-10-04,0.27972307650414585
2016-10-15,0.3131995476049009
2016-10-17,0.27857775601755547
2016-10-23,0.22362431694370327
2016-10-29,0.22265872243093568
2016-10-31,0.13752909122682108
2016-11-08,0.12483473500088155
2016-11-19,0.1970597493286904
2016-11-26,0.16181466920919305
2016-11-30,0.12075997706246548
2016-12-06,0.1416858636861938
2016-12-13,0.12081000529788169
2016-12-20,0.09115078412001379
2017-01-02,0.1403514845065726
2017-01-10,0.15581708336652983
2017-01-21,0.1611645324841141
2017-01-28,0.20931632656267316
2017-02-04,0.2415173177618222
2017-02-11,0.22797086843376912
2017-02-18,0.24669153608934813
2017-02-25,0.24502427827250584
2017-03-01,0.2806079145242284
2017-03-07,0.3076694455506996
2017-03-12,0.2937067782809699
2017-03-18,0.2578125489694484
2017-03-31,0.16064525642734825
2017-04-04,0.14037591037930075
2017-04-08,0.1057317137911378
2017-04-15,0.15068250750054765
2017-04-21,0.18261330238065898
2017-04-23,0.22004512990413772
2017-04-30,0.23216133723834803
2017-05-06,0.169576136550312
2017-05-13,0.16042020519727876
2017-05-19,0.06811580067164237
2017-05-26,0.12867609389664877
2017-06-08,0.19370957657537896
2017-07-03,0.2463235344188439
2017-07-23,0.29023248652548944
2017-08-05,0.23054889026090458
2017-08-12,0.24388798148671514
2017-08-19,0.23991413822134336
2017-08-25,0.26908372451171303
2017-08-27,0.3348194566194573
2017-09-09,0.27524231988474074
2017-09-12,0.24282935120215154
2017-09-17,0.20844819914371798
2017-09-23,0.17654536547120442
2017-09-26,0.1941514135496499
2017-10-01,0.20393116162646946
2017-10-13,0.28112549986869634
2017-10-15,0.24605857650941268
2017-10-21,0.2742623978988678
2017-10-28,0.27798410989305694
2017-10-29,0.24204238567638886
2017-11-05,0.2658586413019827
2017-11-18,0.25772324012563397
2017-11-25,0.2396467912886662
2017-11-28,0.20927553552007794
2017-12-05,0.21008705324190186
2017-12-11,0.2177537700005035
2017-12-17,0.2792636400505877
2017-12-28,0.3014444362620546
2018-01-06,0.2547422760453593
2018-01-13,0.27755207050048325
2018-01-22,0.2513409007621883
2018-01-30,0.25081456508653244
2018-02-05,0.3111609875870575
2018-02-11,0.2636855640010953
2018-02-17,0.24382012321937577
2018-02-24,0.16892944408503596
2018-03-03,0.16299890327219538
2018-03-10,0.21771379707823946
