Division,n,p_fav_dv,var,skew,exkurt,std5,std6,wf_m2,wf_m3,wf_m4,wf_m5,wf_m6,var_pred,skew_pred,exkurt_pred
SUI,2272,0.5025241920747887,0.9593705430070435,0.19307960075920608,-1.7243064361553484,0.7069787645515797,1.9990741335208952,0.9999486824240154,1.036276211713803,1.0077672793071213,1.0385223665774497,1.0213744495215218,1.0773154651353671,0.22733225684881322,-1.6695298164079224
USA,5233,0.5030997289258212,0.9522348307701427,0.1623355068405656,-1.7548166540522023,0.6198132077777548,1.9039829200601182,0.99992528191203,1.035968032289712,1.0069373337262872,1.037389129477026,1.0191617256372287,1.0753860547461116,0.2265002442375649,-1.6682296043555471
T1,6210,0.5105924430102081,0.9370277897965927,0.19788826464270645,-1.6861994826344409,0.75960267209269,2.1434615924236504,0.9997794617191361,1.0290936958593584,1.0058766633640153,1.0276145297469708,1.0152959960330663,1.050955322947345,0.21599780205989694,-1.6502587480857915
RUS,3004,0.5161552264713584,0.9442374013937174,0.22692018300592873,-1.6071124515866924,0.9394095878440933,2.5151733829347895,0.9999026252293489,1.039511564184838,1.0092679746916908,1.039394186259431,1.0245648635281963,1.033063432587682,0.20832373642259103,-1.636522964554021
NOR,3092,0.5180119822218189,0.9210823874376145,0.16736553032359283,-1.6885030491600839,0.6954981614743394,2.1283676754592404,0.9999441496922349,1.0456607954806145,1.0078296531661661,1.0421401711663831,1.0211823797353177,1.0272570264009586,0.20584943750244378,-1.6316573086538602
SWE,3110,0.5213332750315701,0.9163192227130069,0.17326797973560526,-1.6598043120330814,0.7496327613349426,2.258318488780844,0.9999382626553446,1.0479122186375407,1.0084755305625843,1.043656691658634,1.0228772555390249,1.0168707517853144,0.20142350737640427,-1.6229538117335358
B1,5420,0.5247842954141143,0.8887652148792561,0.15532473367761765,-1.6713672965424402,0.6912681045335728,2.1962195808318445,0.9997559123061915,1.0484000196901195,1.0076093008628906,1.0409814295766178,1.0202236112138785,1.0060787959264226,0.1968247032505426,-1.6139103617904098
D1,6273,0.5279339920711643,0.9112171511717522,0.18020954143444537,-1.637551720176148,0.7703688156912368,2.3087136279720015,0.9998192529492376,1.0431213717017496,1.0067330012850615,1.0354511817149499,1.0174400879816046,0.9964634856879504,0.192750818971328,-1.6052304046496768
I1,7726,0.5286429278056974,0.9072380140193995,0.18096984633015156,-1.6175638445039782,0.8172146626478828,2.4368456163614898,0.9998295255866451,1.044997006716421,1.0078169576451235,1.0385275727841732,1.0206110174124383,0.9943180326130441,0.1918437466849429,-1.6032425895812772
SP1,7351,0.5319088929623405,0.9101282660239584,0.19607664195017324,-1.5999912020499476,0.8554697094583484,2.4880404612832714,0.9998487008065561,1.0411677064245244,1.0067556798539836,1.0332855692850214,1.0167960893339594,0.9844342382907402,0.1876649948777128,-1.5940850109249856
SC0,4539,0.5346462983463758,0.8950774369289205,0.21623155050011258,-1.5684957952651422,0.9192509888919167,2.571992062101562,0.9998129780413243,1.0480491676190644,1.0084713038690816,1.040123657957751,1.021239404513439,0.9761500250505774,0.18416252710876185,-1.5864094835031846
P1,5491,0.5349514123697344,0.8904939210216963,0.21729711450521083,-1.5582114639328837,0.9462607599313867,2.645209462047917,0.9997285273958101,1.049436312947105,1.0080581654756815,1.0380702035906615,1.0196115244490755,0.9752266581109168,0.18377213844404267,-1.5855539613117242
AUT,2306,0.5382996157661302,0.8662600949701679,0.14650581884001276,-1.632585013454202,0.6996575786265053,2.31767242464662,0.9999320121228911,1.06926497488137,1.0090730980735918,1.0543963356178538,1.024540953082867,0.9653010723336616,0.17959394103047036,-1.5757627781574477
E0,7735,0.5428351674461053,0.889108018215904,0.16695804663737232,-1.5759790916116632,0.8237496133329119,2.5794129485835504,0.9998034357337733,1.0401722087398007,1.0055811736694387,1.0290327197691491,1.0137776922650827,0.9519927761049417,0.1740041027756202,-1.5622325590495776
IRL,2367,0.5446741495814893,0.8413899090158246,0.14811255097095316,-1.5801442484421788,0.7885425729531242,2.580696479056716,0.9999039952860971,1.085737401695578,1.0116052177072712,1.0645858164866044,1.0312814137029895,0.9465968020881383,0.17173765022129453,-1.5567466043117977
G1,4039,0.5447704123921426,0.8475600881267437,0.18249193898373514,-1.540656262609413,0.9149652969092906,2.769847379210429,0.9997328626472997,1.0626930122331066,1.010131047115498,1.0496933334789602,1.0267975467418704,0.946314346040809,0.17161901117152137,-1.5564594381604715
CHN,2532,0.5501287727603912,0.8269513090214634,0.14797028244368451,-1.5715284455209981,0.775068502629748,2.5703003621724725,0.9998665562422415,1.0989924546692738,1.0123557128816645,1.072469251380908,1.0331660062287222,0.9309055269614421,0.16517286984709986,-1.5398073832369445
N1,6135,0.5637252898496593,0.793061089579858,0.10063274889173841,-1.562668410611075,0.663429030991736,2.573426325349376,0.9997239878103429,1.1148945802864734,1.0089403225255873,1.0635350479405485,1.0238564619489703,0.8927121050121931,0.14931662574723475,-1.4954089642129684
